"","feature","accuracyDifference"
"144","ENSG00000227619.1",0.00035320088300228
"135","ENSG00000224020.1",0.000347682119205328
"434","ENSG00000255139.1",0.000347682119205328
"310","ENSG00000259642.2",0.000342163355408376
"20","ENSG00000245928.2",0.000336644591611535
"253","ENSG00000239653.1",0.000336644591611535
"58","ENSG00000233429.9",0.000331125827814582
"81","ENSG00000225484.6",0.000331125827814582
"366","ENSG00000224184.5",0.000325607064017741
"163","ENSG00000230896.1",0.000320088300220789
"277","ENSG00000236008.1",0.000320088300220789
"374","ENSG00000234883.5",0.000320088300220789
"417","ENSG00000255135.3",0.000320088300220789
"154","ENSG00000251562.8",0.000314569536423837
"16","ENSG00000232956.8",0.000309050772626995
"220","ENSG00000259972.2",0.000309050772626995
"330","ENSG00000258297.1",0.000309050772626995
"100","ENSG00000227540.1",0.000303532008830043
"327","ENSG00000255893.1",0.000303532008830043
"385","ENSG00000245080.7",0.000303532008830043
"285","ENSG00000229325.1",0.000298013245033091
"341","ENSG00000249334.1",0.000298013245033091
"376","ENSG00000258682.1",0.000298013245033091
"435","ENSG00000245556.2",0.000298013245033091
"439","ENSG00000198496.11",0.000298013245033091
"115","ENSG00000225226.1",0.00029249448123625
"303","ENSG00000247982.6",0.00029249448123625
"340","ENSG00000223511.7",0.00029249448123625
"357","ENSG00000260975.1",0.00029249448123625
"61","ENSG00000247556.6",0.000286975717439297
"169","ENSG00000260583.1",0.000286975717439297
"294","ENSG00000232063.1",0.000286975717439297
"73","ENSG00000239569.3",0.000281456953642456
"182","ENSG00000254205.1",0.000281456953642456
"325","ENSG00000218537.1",0.000281456953642456
"33","ENSG00000237976.1",0.000275938189845504
"112","ENSG00000206337.10",0.000275938189845504
"278","ENSG00000231881.1",0.000275938189845504
"17","ENSG00000246250.2",0.000270419426048552
"66","ENSG00000204685.6",0.000270419426048552
"92","ENSG00000259820.1",0.000270419426048552
"200","ENSG00000227039.6",0.000270419426048552
"237","ENSG00000232940.5",0.000270419426048552
"333","ENSG00000181800.5",0.000270419426048552
"201","ENSG00000261061.1",0.00026490066225171
"234","ENSG00000260565.6",0.00026490066225171
"284","ENSG00000255299.5",0.00026490066225171
"334","ENSG00000259116.1",0.00026490066225171
"129","ENSG00000251603.1",0.000259381898454758
"239","ENSG00000225793.2",0.000259381898454758
"273","ENSG00000184224.3",0.000259381898454758
"274","ENSG00000245534.6",0.000259381898454758
"275","ENSG00000226806.1",0.000259381898454758
"127","ENSG00000259986.1",0.000253863134657917
"131","ENSG00000229905.1",0.000253863134657917
"410","ENSG00000235978.6",0.000253863134657917
"75","ENSG00000224914.3",0.000248344370860965
"93","ENSG00000230590.9",0.000248344370860965
"136","ENSG00000260917.1",0.000242825607064012
"150","ENSG00000240240.8",0.000242825607064012
"300","ENSG00000154537.4",0.000242825607064012
"318","ENSG00000260804.3",0.000242825607064012
"1","ENSG00000257261.5",0.000237306843267171
"18","ENSG00000224238.2",0.000237306843267171
"90","ENSG00000261604.1",0.000237306843267171
"119","ENSG00000257167.2",0.000237306843267171
"392","ENSG00000234449.2",0.000237306843267171
"102","ENSG00000224565.1",0.000231788079470219
"354","ENSG00000233251.7",0.000231788079470219
"11","ENSG00000230300.1",0.000226269315673266
"132","ENSG00000228794.8",0.000226269315673266
"140","ENSG00000253320.5",0.000226269315673266
"211","ENSG00000245275.7",0.000226269315673266
"162","ENSG00000260083.1",0.000220750551876425
"418","ENSG00000255968.1",0.000220750551876425
"443","ENSG00000254258.1",0.000220750551876425
"105","ENSG00000215424.9",0.000215231788079473
"180","ENSG00000236977.1",0.000215231788079473
"194","ENSG00000232931.5",0.000215231788079473
"268","ENSG00000259380.5",0.000215231788079473
"306","ENSG00000224950.2",0.000215231788079473
"335","ENSG00000234327.7",0.000215231788079473
"338","ENSG00000245060.6",0.000215231788079473
"346","ENSG00000231227.1",0.000215231788079473
"384","ENSG00000259456.3",0.000215231788079473
"146","ENSG00000235419.5",0.000209713024282632
"202","ENSG00000242588.5",0.000209713024282632
"219","ENSG00000204261.8",0.000209713024282632
"231","ENSG00000260896.5",0.000209713024282632
"251","ENSG00000261596.2",0.000209713024282632
"260","ENSG00000205664.10",0.000209713024282632
"311","ENSG00000259134.5",0.000209713024282632
"419","ENSG00000185433.8",0.000209713024282632
"255","ENSG00000251022.6",0.000204194260485679
"349","ENSG00000238121.5",0.000204194260485679
"362","ENSG00000254319.5",0.000204194260485679
"436","ENSG00000247121.6",0.000204194260485679
"6","ENSG00000222042.1",0.000198675496688727
"188","ENSG00000248202.1",0.000198675496688727
"238","ENSG00000235919.4",0.000198675496688727
"293","ENSG00000227502.2",0.000198675496688727
"381","ENSG00000225377.5",0.000198675496688727
"383","ENSG00000259772.6",0.000198675496688727
"2","ENSG00000225408.1",0.000193156732891886
"4","ENSG00000223442.1",0.000193156732891886
"9","ENSG00000250337.5",0.000193156732891886
"89","ENSG00000229246.1",0.000193156732891886
"118","ENSG00000249175.1",0.000193156732891886
"173","ENSG00000261030.1",0.000193156732891886
"309","ENSG00000247903.1",0.000193156732891886
"361","ENSG00000228434.1",0.000193156732891886
"375","ENSG00000247828.7",0.000193156732891886
"432","ENSG00000233828.3",0.000193156732891886
"441","ENSG00000214772.2",0.000193156732891886
"124","ENSG00000247774.6",0.000187637969094934
"199","ENSG00000249592.5",0.000187637969094934
"256","ENSG00000259153.1",0.000187637969094934
"364","ENSG00000243055.1",0.000187637969094934
"272","ENSG00000226965.1",0.000182119205298092
"429","ENSG00000103472.10",0.000182119205298092
"27","ENSG00000236137.1",0.00017660044150114
"44","ENSG00000182165.17",0.00017660044150114
"50","ENSG00000232081.1",0.00017660044150114
"67","ENSG00000261766.1",0.00017660044150114
"106","ENSG00000203386.6",0.00017660044150114
"126","ENSG00000241168.1",0.00017660044150114
"193","ENSG00000259883.1",0.00017660044150114
"399","ENSG00000257621.7",0.00017660044150114
"49","ENSG00000216863.9",0.000171081677704188
"97","ENSG00000248734.2",0.000171081677704188
"141","ENSG00000228763.1",0.000171081677704188
"155","ENSG00000230747.1",0.000171081677704188
"226","ENSG00000261249.1",0.000171081677704188
"62","ENSG00000235629.1",0.000165562913907347
"103","ENSG00000178977.3",0.000165562913907347
"166","ENSG00000245937.7",0.000165562913907347
"171","ENSG00000249614.1",0.000165562913907347
"316","ENSG00000258885.1",0.000165562913907347
"328","ENSG00000215256.3",0.000165562913907347
"344","ENSG00000197813.5",0.000165562913907347
"13","ENSG00000257953.1",0.000160044150110394
"41","ENSG00000124915.10",0.000160044150110394
"149","ENSG00000253112.1",0.000160044150110394
"190","ENSG00000261471.1",0.000160044150110394
"191","ENSG00000253711.1",0.000160044150110394
"298","ENSG00000256218.1",0.000160044150110394
"111","ENSG00000224660.1",0.000154525386313442
"263","ENSG00000258082.1",0.000154525386313442
"288","ENSG00000224141.5",0.000154525386313442
"305","ENSG00000257647.1",0.000154525386313442
"157","ENSG00000237883.1",0.000149006622516601
"204","ENSG00000230606.10",0.000149006622516601
"165","ENSG00000242659.1",0.000143487858719649
"179","ENSG00000245532.8",0.000143487858719649
"198","ENSG00000234705.1",0.000143487858719649
"217","ENSG00000229255.1",0.000143487858719649
"225","ENSG00000232564.3",0.000143487858719649
"254","ENSG00000224933.2",0.000143487858719649
"262","ENSG00000253456.1",0.000143487858719649
"319","ENSG00000248152.1",0.000143487858719649
"72","ENSG00000203497.2",0.000137969094922807
"134","ENSG00000230438.6",0.000137969094922807
"358","ENSG00000226026.5",0.000137969094922807
"367","ENSG00000224521.1",0.000137969094922807
"380","ENSG00000256262.1",0.000137969094922807
"29","ENSG00000258875.5",0.000132450331125855
"35","ENSG00000215022.7",0.000132450331125855
"125","ENSG00000257815.5",0.000132450331125855
"280","ENSG00000256967.1",0.000132450331125855
"307","ENSG00000225855.6",0.000132450331125855
"47","ENSG00000197670.6",0.000126931567328903
