"","feature","accuracyDifference"
"321","ENSG00000179818.13",0.00151923076923077
"72","ENSG00000225733.5",0.00149999999999995
"155","ENSG00000230733.2",0.00149999999999995
"232","ENSG00000254815.5",0.00149999999999995
"283","ENSG00000261098.1",0.00149999999999995
"346","ENSG00000259432.1",0.00149999999999995
"168","ENSG00000259986.1",0.00148076923076923
"281","ENSG00000256193.5",0.00148076923076923
"288","ENSG00000225889.7",0.00148076923076923
"322","ENSG00000234509.1",0.00148076923076923
"60","ENSG00000235919.4",0.0014615384615384
"80","ENSG00000236591.1",0.0014615384615384
"82","ENSG00000249614.1",0.0014615384615384
"163","ENSG00000233223.2",0.0014615384615384
"262","ENSG00000261409.1",0.0014615384615384
"268","ENSG00000224870.6",0.0014615384615384
"289","ENSG00000260949.1",0.0014615384615384
"334","ENSG00000231177.4",0.0014615384615384
"147","ENSG00000243055.1",0.00144230769230769
"299","ENSG00000237978.5",0.00144230769230769
"399","ENSG00000232093.1",0.00144230769230769
"3","ENSG00000215424.9",0.00142307692307697
"49","ENSG00000226091.7",0.00142307692307697
"76","ENSG00000246465.1",0.00142307692307697
"117","ENSG00000260917.1",0.00142307692307697
"279","ENSG00000251022.6",0.00142307692307697
"11","ENSG00000259456.3",0.00140384615384614
"57","ENSG00000234684.6",0.00140384615384614
"65","ENSG00000254205.1",0.00140384615384614
"157","ENSG00000236404.8",0.00140384615384614
"178","ENSG00000223751.1",0.00140384615384614
"225","ENSG00000233396.7",0.00140384615384614
"286","ENSG00000232325.4",0.00140384615384614
"405","ENSG00000259125.1",0.00140384615384614
"75","ENSG00000246792.2",0.00138461538461543
"103","ENSG00000250337.5",0.00138461538461543
"233","ENSG00000235890.2",0.00138461538461543
"282","ENSG00000215417.12",0.00138461538461543
"309","ENSG00000234650.5",0.00138461538461543
"320","ENSG00000231132.1",0.00138461538461543
"67","ENSG00000227215.1",0.0013653846153846
"84","ENSG00000254602.1",0.0013653846153846
"124","ENSG00000249684.5",0.0013653846153846
"139","ENSG00000253982.1",0.0013653846153846
"153","ENSG00000255201.1",0.0013653846153846
"170","ENSG00000261364.1",0.0013653846153846
"174","ENSG00000241599.1",0.0013653846153846
"363","ENSG00000235298.1",0.0013653846153846
"79","ENSG00000253361.2",0.00134615384615389
"104","ENSG00000229976.1",0.00134615384615389
"111","ENSG00000261586.2",0.00134615384615389
"123","ENSG00000196756.11",0.00134615384615389
"131","ENSG00000251461.3",0.00134615384615389
"209","ENSG00000230392.1",0.00134615384615389
"236","ENSG00000223685.5",0.00134615384615389
"276","ENSG00000259959.1",0.00134615384615389
"345","ENSG00000257270.1",0.00134615384615389
"368","ENSG00000259048.1",0.00134615384615389
"385","ENSG00000254044.5",0.00134615384615389
"5","ENSG00000232850.3",0.00132692307692306
"10","ENSG00000230798.5",0.00132692307692306
"14","ENSG00000248008.2",0.00132692307692306
"128","ENSG00000237986.3",0.00132692307692306
"136","ENSG00000233693.1",0.00132692307692306
"175","ENSG00000206532.2",0.00132692307692306
"196","ENSG00000235837.1",0.00132692307692306
"237","ENSG00000225377.5",0.00132692307692306
"256","ENSG00000248714.6",0.00132692307692306
"275","ENSG00000242588.5",0.00132692307692306
"379","ENSG00000255476.1",0.00132692307692306
"58","ENSG00000225791.6",0.00130769230769234
"66","ENSG00000259153.1",0.00130769230769234
"116","ENSG00000258240.5",0.00130769230769234
"191","ENSG00000224973.5",0.00130769230769234
"197","ENSG00000257151.1",0.00130769230769234
"300","ENSG00000225484.6",0.00130769230769234
"383","ENSG00000163915.7",0.00130769230769234
"386","ENSG00000226328.6",0.00130769230769234
"407","ENSG00000239569.3",0.00130769230769234
"4","ENSG00000260455.1",0.00128846153846152
"38","ENSG00000228204.2",0.00128846153846152
"114","ENSG00000226026.5",0.00128846153846152
"154","ENSG00000232907.7",0.00128846153846152
"159","ENSG00000232081.1",0.00128846153846152
"189","ENSG00000224729.5",0.00128846153846152
"217","ENSG00000253200.1",0.00128846153846152
"234","ENSG00000259005.1",0.00128846153846152
"238","ENSG00000254688.1",0.00128846153846152
"248","ENSG00000260469.2",0.00128846153846152
"251","ENSG00000231064.7",0.00128846153846152
"287","ENSG00000235423.8",0.00128846153846152
"291","ENSG00000230937.11",0.00128846153846152
"371","ENSG00000236008.1",0.00128846153846152
"378","ENSG00000245532.8",0.00128846153846152
"62","ENSG00000259485.1",0.0012692307692308
"78","ENSG00000254542.1",0.0012692307692308
"93","ENSG00000163597.14",0.0012692307692308
"112","ENSG00000225077.2",0.0012692307692308
"138","ENSG00000231365.5",0.0012692307692308
"141","ENSG00000248152.1",0.0012692307692308
"145","ENSG00000255135.3",0.0012692307692308
"190","ENSG00000261188.1",0.0012692307692308
"193","ENSG00000232973.11",0.0012692307692308
"210","ENSG00000237976.1",0.0012692307692308
"259","ENSG00000224141.5",0.0012692307692308
"323","ENSG00000233834.6",0.0012692307692308
"330","ENSG00000253348.1",0.0012692307692308
"381","ENSG00000259103.1",0.0012692307692308
"51","ENSG00000227533.5",0.00124999999999997
"110","ENSG00000224795.1",0.00124999999999997
"149","ENSG00000223768.2",0.00124999999999997
"315","ENSG00000230091.6",0.00124999999999997
"317","ENSG00000248360.7",0.00124999999999997
"396","ENSG00000203809.6",0.00124999999999997
"406","ENSG00000248445.5",0.00124999999999997
"8","ENSG00000255893.1",0.00123076923076926
"44","ENSG00000224700.2",0.00123076923076926
"59","ENSG00000212694.8",0.00123076923076926
"63","ENSG00000232956.8",0.00123076923076926
"71","ENSG00000248103.1",0.00123076923076926
"83","ENSG00000242082.1",0.00123076923076926
"122","ENSG00000228624.7",0.00123076923076926
"142","ENSG00000197813.5",0.00123076923076926
"152","ENSG00000235902.1",0.00123076923076926
"180","ENSG00000251615.3",0.00123076923076926
"194","ENSG00000234026.1",0.00123076923076926
"213","ENSG00000261367.1",0.00123076923076926
"216","ENSG00000234273.1",0.00123076923076926
"247","ENSG00000233828.3",0.00123076923076926
"253","ENSG00000260948.1",0.00123076923076926
"257","ENSG00000255968.1",0.00123076923076926
"265","ENSG00000205664.10",0.00123076923076926
