"","feature","accuracyDifference"
"292","ENSG00000247516.6",0.0014942528735632
"202","ENSG00000223764.2",0.0014870689655172
"282","ENSG00000222033.1",0.0014870689655172
"332","ENSG00000258325.2",0.0014870689655172
"29","ENSG00000227540.1",0.00147988505747121
"53","ENSG00000250988.7",0.00147988505747121
"144","ENSG00000243055.1",0.00147988505747121
"152","ENSG00000261220.2",0.00147988505747121
"183","ENSG00000230551.4",0.00147988505747121
"241","ENSG00000227403.1",0.00147988505747121
"244","ENSG00000248714.6",0.00147988505747121
"262","ENSG00000230647.1",0.00147988505747121
"305","ENSG00000257261.5",0.00147988505747121
"325","ENSG00000232803.1",0.00147988505747121
"330","ENSG00000257647.1",0.00147988505747121
"364","ENSG00000239705.1",0.00147988505747121
"20","ENSG00000197989.13",0.00147270114942522
"77","ENSG00000246465.1",0.00147270114942522
"333","ENSG00000234327.7",0.00147270114942522
"361","ENSG00000254044.5",0.00147270114942522
"41","ENSG00000224914.3",0.00146551724137933
"61","ENSG00000235919.4",0.00146551724137933
"184","ENSG00000251381.7",0.00146551724137933
"220","ENSG00000260997.1",0.00146551724137933
"280","ENSG00000215808.2",0.00146551724137933
"378","ENSG00000247137.8",0.00146551724137933
"39","ENSG00000236810.5",0.00145833333333334
"68","ENSG00000254205.1",0.00145833333333334
"114","ENSG00000237883.1",0.00145833333333334
"221","ENSG00000254688.1",0.00145833333333334
"303","ENSG00000248049.6",0.00145833333333334
"326","ENSG00000237686.6",0.00145833333333334
"352","ENSG00000236008.1",0.00145833333333334
"49","ENSG00000235884.3",0.00145114942528735
"54","ENSG00000224189.7",0.00145114942528735
"217","ENSG00000225377.5",0.00145114942528735
"266","ENSG00000256193.5",0.00145114942528735
"283","ENSG00000234281.5",0.00145114942528735
"300","ENSG00000203999.8",0.00145114942528735
"383","ENSG00000233621.1",0.00145114942528735
"10","ENSG00000259456.3",0.00144396551724135
"99","ENSG00000248318.1",0.00144396551724135
"353","ENSG00000229334.1",0.00144396551724135
"56","ENSG00000230613.1",0.00143678160919536
"109","ENSG00000231172.2",0.00143678160919536
"122","ENSG00000245149.3",0.00143678160919536
"309","ENSG00000248360.7",0.00143678160919536
"1","ENSG00000229780.1",0.00142959770114937
"133","ENSG00000258297.1",0.00142959770114937
"169","ENSG00000257027.1",0.00142959770114937
"206","ENSG00000250081.1",0.00142959770114937
"229","ENSG00000260580.1",0.00142959770114937
"317","ENSG00000257497.2",0.00142959770114937
"367","ENSG00000226328.6",0.00142959770114937
"94","ENSG00000229325.1",0.00142241379310348
"19","ENSG00000225762.1",0.00142241379310337
"65","ENSG00000232956.8",0.00142241379310337
"226","ENSG00000255031.5",0.00142241379310337
"265","ENSG00000251022.6",0.00142241379310337
"299","ENSG00000248323.5",0.00142241379310337
"27","ENSG00000253106.1",0.00141522988505749
"47","ENSG00000260804.3",0.00141522988505749
"110","ENSG00000250337.5",0.00141522988505749
"240","ENSG00000236753.5",0.00141522988505749
"23","ENSG00000260565.6",0.0014080459770115
"50","ENSG00000260000.2",0.0014080459770115
"111","ENSG00000206567.9",0.0014080459770115
"31","ENSG00000261116.1",0.0014008620689655
"120","ENSG00000224790.2",0.0014008620689655
"252","ENSG00000212978.6",0.0014008620689655
"366","ENSG00000258620.1",0.0014008620689655
"66","ENSG00000259485.1",0.00139367816091951
"273","ENSG00000249641.2",0.00139367816091951
"302","ENSG00000228630.5",0.00139367816091951
"377","ENSG00000232093.1",0.00139367816091951
"97","ENSG00000256967.1",0.00138649425287352
"269","ENSG00000257815.5",0.00138649425287352
"275","ENSG00000225889.7",0.00138649425287352
"189","ENSG00000224660.1",0.00137931034482752
"237","ENSG00000230454.1",0.00137931034482752
"271","ENSG00000260329.1",0.00137931034482752
"311","ENSG00000237491.8",0.00137931034482752
"341","ENSG00000250159.6",0.00137931034482752
"360","ENSG00000204876.4",0.00137931034482752
"104","ENSG00000259116.1",0.00137212643678164
"251","ENSG00000205664.10",0.00137212643678164
"164","ENSG00000233223.2",0.00137212643678153
"80","ENSG00000257702.3",0.00136494252873565
"242","ENSG00000260948.1",0.00136494252873565
"315","ENSG00000237523.1",0.00136494252873565
"115","ENSG00000203280.4",0.00135775862068965
"236","ENSG00000197182.14",0.00135775862068965
"385","ENSG00000258867.5",0.00135775862068965
